"Section","Title","Status","Detail"
"1.1.1","Admin accounts are cloud-only","PASS","No hybrid privileged users."
"1.1.3","2-4 Global Admins","FAIL","Too many: 6 (max 4)."
"1.1.4","Admin reduced license footprint","FAIL","6 admin(s) with risky licenses."
"1.2.1","No unapproved public groups","WARN","6 public groups found."
"1.2.2","Block shared mailbox sign-in","PASS","All shared MBX blocked."
"1.3.1","Password never expire policy","PASS","All domains = never expire."
"1.3.2","Idle session timeout <=3h","FAIL","No timeout policy configured."
"1.3.3","No external calendar sharing","FAIL","Anonymous calendar sharing enabled."
"1.3.4","User owned apps restricted","FAIL","AllowedToCreateApps = True."
"1.3.5","Forms phishing protection","PASS","Phishing scan enabled."
"1.3.6","Customer Lockbox enabled","FAIL","Enabled = False."
"1.3.7","Third-party storage restricted","PASS","SP not found (not installed)."
"1.3.9","Bookings restricted","FAIL","BookingsMailboxCreationEnabled = True."
"2.1.1","Safe Links for Office Apps","FAIL","Safe Links not fully configured."
"2.1.2","Common attachment filter","PASS","EnableFileFilter = True."
"2.1.3","Malware internal notification","FAIL","Notification not configured."
"2.1.4","Safe Attachments policy","PASS","Safe Attachments enabled."
"2.1.5","Safe Attachments SPO/ODB/Teams","PASS","All ATP settings correct."
"2.1.6","Spam admin notification","FAIL","Admin notification missing."
"2.1.7","Anti-phishing policy","FAIL","No compliant anti-phishing policy."
"2.1.8","SPF records published","PASS","All domains have SPF."
"2.1.9","DKIM enabled all domains","PASS","All domains valid."
"2.1.10","DMARC records published","PASS","All custom domains have DMARC."
"2.1.11","Comprehensive attachment filter","FAIL","Missing types: rar"
"2.1.12","Connection filter IP allow","PASS","IPAllowList is empty."
"2.1.13","Connection filter safe list off","PASS","EnableSafeList = False."
"2.1.14","No bypass domains in spam policy","PASS","No bypass domains."
"2.1.15","Outbound spam limits","FAIL","Check values above."
"2.4.1","Priority account protection","WARN","No preset policies found."
"2.4.2","Strict protection presets","FAIL","Strict preset not enabled."
"2.4.4","ZAP for Teams","PASS","ZapEnabled = True."
"3.1.1","Audit log search enabled","FAIL","UnifiedAuditLog = False."
"3.2.1","DLP policies enabled","WARN","Manual verification required (Purview DLP policies not queried here)."
"3.2.2","DLP policies for Teams","WARN","Manual verification required (Purview DLP policies not queried here)."
"3.3.1","Sensitivity labels published","PASS","3 labels found."
"4.1","Devices default not-compliant","FAIL","secureByDefault = False."
"4.2","Block personal device enrollment","WARN","Config not found."
"5.1.2.1","Per-user MFA disabled","PASS","No per-user MFA found."
"5.1.2.2","No 3rd party app registration","FAIL","AllowedToCreateApps = True."
"5.1.2.3","Restrict tenant creation","FAIL","AllowedToCreateTenants = True."
"5.1.3.1","Dynamic group for guests","FAIL","No dynamic guest group."
"5.1.3.2","Restrict security group creation","FAIL","AllowedToCreateSecurityGroups = True."
"5.1.4.1","Restrict Entra device join","FAIL","Join type = #microsoft.graph.allDeviceRegistrationMembership."
"5.1.4.2","Max devices per user","FAIL","Quota = 50 (should be <=20)."
"5.1.4.3","GA not local admin on join","FAIL","enableGlobalAdmins = True."
"5.1.4.4","Limit local admin on Entra join","FAIL","Type = #microsoft.graph.allDeviceRegistrationMembership."
"5.1.4.5","LAPS enabled","FAIL","LAPS = False."
"5.1.4.6","Restrict BitLocker key recovery","FAIL","BitLocker self-recovery = True."
"5.1.5.1","No user consent to apps","PASS","No risky consent policies."
"5.1.5.2","Admin consent workflow","FAIL","isEnabled = False."
"5.1.6.1","B2B invitation domain restriction","FAIL","No B2B policy found."
"5.1.6.2","Guest access restricted","PASS","Guest role = Limited."
"5.1.6.3","Guest invite limited to Guest Inviter","FAIL","AllowInvitesFrom = everyone."
"5.2.2.1","MFA for admin roles","FAIL","No admin-role MFA CA policy."
"5.2.2.2","MFA for all users","PASS","All-user MFA CA in place."
"5.2.2.3","Block legacy auth","FAIL","No legacy auth block CA."
"5.2.2.4","Sign-in freq + non-persistent session","FAIL","Both policies missing."
"5.2.2.5","Phishing-resistant MFA for admins","FAIL","No phishing-resistant MFA CA."
"5.2.2.6","User risk policies","FAIL","No user risk CA."
"5.2.2.7","Sign-in risk policies","FAIL","No sign-in risk CA."
"5.2.2.8","Block medium/high sign-in risk","FAIL","No risk block CA."
"5.2.2.9","Managed device required","WARN","No all-user managed device CA found."
"5.2.2.10","Managed device for security info reg","FAIL","No security info reg CA."
"5.2.2.11","Intune enrollment sign-in freq","FAIL","No everyTime Intune CA."
"5.2.2.12","Block device code flow","FAIL","No device code block CA."
"5.2.3.1","Authenticator MFA fatigue protection","PASS","Number match/context enabled."
"5.2.3.2","Custom banned passwords","WARN","Cannot determine settings."
"5.2.3.3","On-prem AD password protection","WARN","Cloud-only or not configured."
"5.2.3.4","All members MFA capable","FAIL","34 members not MFA registered."
"5.2.3.5","Disable weak auth methods","PASS","SMS/Voice disabled."
"5.2.3.6","System-preferred MFA enabled","PASS","State=default, target=all_users."
"5.2.3.7","Email OTP disabled","FAIL","Email OTP = enabled."
"5.3.1","PIM used for role management","WARN","Forbidden - check RoleManagement.Read.Directory permission + P2 license."
"5.3.2","Guest access reviews","FAIL","No guest access reviews."
"5.3.3","Access reviews for privileged roles","FAIL","No active access reviews."
"5.3.4","Approval required for GA activation","WARN","Manual PIM portal verification required."
"5.3.5","Approval required for PRA activation","WARN","Manual PIM portal verification required."
"6.1.1","Audit log search enabled","PASS","AuditDisabled=False."
"6.1.2","Mailbox auditing E5","WARN","6 mailboxes audit-disabled."
"6.1.3","AuditBypass not enabled","PASS","No audit bypass."
"6.2.1","Mail forwarding blocked","FAIL","Forwarding rules/policies found."
"6.2.2","No domain bypass rules","PASS","No SCL=-1 domain rules."
"6.2.3","External sender tagging","WARN","Error after 3 retries: A server side error has occurred because of which the operation could not be completed. Please try again after some time. If the problem still persists, please reach out to MS support."
"6.3.1","Restrict Outlook add-ins","FAIL","Roles: My Marketplace Apps."
